name,predicted_rating_kuby
Toy Story,8.823172323530613
Toy Story 3,8.613579586160219
Trainspotting,7.991795072800692
Tôkyô monogatari,8.420582524281695
Unforgiven,8.711004085664252
Up,8.473561059544027
V for Vendetta,9.510690712379702
Vertigo,9.512957299947162
Warrior,9.756825148514249
Whiplash,6.967741408058885
Witness for the Prosecution,8.33471065727119
Yôjinbô,9.796557048269518
